# vcub swaption snapshot, single business day
# date: UNKNOWN (replace with the actual trade date)
# convention: usd, beta = 0.5 sabr, normal (bachelier) vol in basis points
# this file is a calibrated-parameter snapshot: expiry, tenor, status, F_pct, atm_vol_bp,
# alpha, rho, nu, rmse_bp, max_err_bp plus arbitrage diagnostics.
# the loader also accepts a raw-quote file with columns:
# expiry, tenor, strike, implied_vol, atm_forward, date
expiry,tenor,status,F_pct,atm_vol_bp,alpha,rho,nu,rmse_bp,max_err_bp,nu2T,density_viol,min_density,butterfly_viol,vertical_viol,flag_nu2T,flag_rmse,flag_density,any_flag
1Mo,1Yr,ok,4.2245,89.22,0.04223538643461037,0.0023670570424166545,2.0035020015776706,1.4573079579338135,3.8475049960337917,0.33450168919381096,0,0.0011143369725958915,0,0,False,False,False,False
1Mo,2Yr,ok,4.2172,96.60000000000001,0.04576969273288236,-0.0036859527054660056,2.0042516105532044,1.5156373977179054,4.04660790082053,0.3347520432004261,0,0.0011095699096674936,0,0,False,False,False,False
1Mo,5Yr,ok,4.1631,86.55,0.04127255972642033,0.06626754209275629,2.0002014686146006,1.466957192059604,3.915991011129542,0.3334004929206671,0,0.0008742764885409817,0,0,False,False,False,False
1Mo,10Yr,ok,4.265300000000001,70.56,0.03324794175460689,0.09371291090372075,1.997434345286263,1.2993494777577757,3.476064269893886,0.33247866364409684,0,0.0008323218388477493,0,0,False,False,False,False
1Mo,15Yr,ok,4.3845,66.67,0.03098358267481067,0.08742271120452208,1.9986566581454326,1.2019982896777939,3.1797077000883176,0.3328857030957557,0,0.0008743889465133406,0,0,False,False,False,False
1Mo,20Yr,ok,4.4386,62.97,0.02908959798413968,0.10578037608316318,1.996824237498967,1.144546625060252,3.0290141379981166,0.3322755862886109,0,0.000820284377533768,0,0,False,False,False,False
1Mo,30Yr,ok,4.4211,58.96,0.02743623316719778,0.14673289341963602,1.7980240723106182,1.043920829349652,2.765939741930391,0.2694075470507049,0,0.00045165707633135633,0,0,False,False,False,False
3Mo,1Yr,ok,4.2721,92.65,0.042466502147473335,-0.03450243277067891,1.6445297390978075,1.2667840660515268,3.391158555098618,0.6761195156942758,0,0.0030348390882412864,0,0,True,False,False,True
3Mo,2Yr,ok,4.2338000000000005,96.13,0.045078385959545574,-0.031301606088550565,1.3346600608611114,1.131073571914958,3.037175065655224,0.4453293695144464,0,0.0016023659212997237,0,0,False,False,False,False
3Mo,5Yr,ok,4.1732,85.98,0.040585608476890925,0.060818919368137096,1.3333706302404025,1.1105844362762531,3.005055100294262,0.44446930939692203,0,0.0012305469092192835,0,0,False,False,False,False
3Mo,10Yr,ok,4.276400000000001,72.87,0.03411510628610193,0.08511700298530012,1.2572302024608037,0.9740726663620592,2.627792178455258,0.3951569454949084,0,0.0009803584218394054,0,0,False,False,False,False
3Mo,15Yr,ok,4.3931,67.91,0.03142274442014356,0.07130805051016609,1.2220462639407748,0.8888273460080366,2.385226616440656,0.37334926780290145,0,0.0009676621250195961,0,0,False,False,False,False
3Mo,20Yr,ok,4.4449000000000005,64.78,0.029846680280387398,0.055508035607850274,1.1893774844873517,0.8503052787363289,2.279683973807206,0.35365470015136513,0,0.0009503335826912499,0,0,False,False,False,False
3Mo,30Yr,ok,4.4259,61.13,0.028294742732088218,0.04449471697738832,1.1374754359360912,0.8027296451405929,2.132000928314146,0.3234625918395002,0,0.0008538641143240946,0,0,False,False,False,False
6Mo,1Yr,ok,4.2909999999999995,96.57,0.043791338287560364,-0.06926974242687411,1.2672268798425512,1.0280156026387177,2.7484328425986075,0.8029319824977439,0,0.0036123859572461804,0,0,True,False,False,True
6Mo,2Yr,ok,4.2287,97.14,0.044813429553301004,-0.06330732980079695,1.161301292238676,0.9917014254399299,2.6642325060180148,0.6743103456776095,0,0.002897979339808643,0,0,True,False,False,True
6Mo,5Yr,ok,4.1767,87.0,0.040987440279860135,0.009873363082025372,0.9689908421516155,0.8630794905395602,2.338249644402296,0.46947162608684845,0,0.0013180390643441,0,0,False,False,False,False
6Mo,10Yr,ok,4.286700000000001,76.2,0.035450997759659604,0.06091811040026717,0.9575983515780139,0.7948801335668776,2.153036367692138,0.45849730147246476,0,0.0011677989515251675,0,0,False,False,False,False
6Mo,15Yr,ok,4.4012,71.83,0.033180235411199764,0.05818316050498556,0.8757689060904342,0.7010329341833724,1.8892839519031417,0.3834855884374179,0,0.0008610566433309484,0,0,False,False,False,False
6Mo,20Yr,ok,4.4502,69.04,0.03189085171227785,0.05437441200153614,0.7944209912968804,0.6389552016179341,1.7314247973717647,0.31555235570655904,0,0.0005881336001557958,0,0,False,False,False,False
6Mo,30Yr,ok,4.429799999999999,66.22,0.030567382795309954,0.0770265747543993,0.8385223286068824,0.6567961518957894,1.7796322216401088,0.3515598477861542,0,0.0007013223485808581,0,0,False,False,False,False
9Mo,1Yr,ok,4.2661999999999995,98.87,0.04487001311096248,-0.0823623097596848,1.0614300187167456,0.8868202768493902,2.372394581640555,0.8449752634747731,0,0.004099794309933173,0,0,True,False,False,True
9Mo,2Yr,ok,4.2036999999999995,98.27,0.04549699459531323,-0.08186549527459439,0.9534752806979315,0.8378086031867203,2.248634131760373,0.6818363331764995,0,0.0037624274052237613,0,0,True,False,False,True
9Mo,5Yr,ok,4.1727,88.0,0.04141276926093793,-0.003905215458808264,0.8126951107092526,0.7304044436602721,1.9851708761864546,0.49535500722804326,0,0.001447106881331822,0,0,False,False,False,False
9Mo,10Yr,ok,4.2931,78.65,0.036491780430620034,0.056453907965711654,0.8037312115509153,0.6751519724316397,1.8344409425304422,0.4844878953158267,0,0.0011223544666382381,0,0,False,False,False,False
9Mo,15Yr,ok,4.4063,74.61,0.03432181001695043,0.05316717634725195,0.756375323628924,0.6111325660731901,1.6604751611935114,0.42907772264606964,0,0.0009237996178774813,0,0,False,False,False,False
9Mo,20Yr,ok,4.4531,72.23,0.033188079215244956,0.048324110492581576,0.7102654880798542,0.5726587959392596,1.5632895283177948,0.37835779766798516,0,0.0007303952651509092,0,0,False,False,False,False
9Mo,30Yr,ok,4.4318,69.68,0.03201885609793723,0.060300654872530966,0.7357858715709117,0.5836585595090996,1.5813794995399137,0.4060356366025246,0,0.0008464798161596644,0,0,False,False,False,False
1Yr,1Yr,ok,4.2165,100.66,0.046427950901726744,-0.09784823485296068,0.8532991005325667,0.7299677175952932,1.9325531541399334,0.7281193549696875,0,0.00391381863945049,0,0,True,False,False,True
1Yr,2Yr,ok,4.1639,97.73,0.04597495117287173,-0.10250045780432587,0.7445548651112964,0.6654739991940226,1.7658308448490443,0.5543619471609008,0,0.0033257006886564145,0,0,True,False,False,True
1Yr,5Yr,ok,4.1637,88.17,0.04178226023291126,-0.018639852849472446,0.6554856235651896,0.5965687774841948,1.617911864652509,0.4296614027006454,0,0.0026564720414038504,0,0,False,False,False,False
1Yr,10Yr,ok,4.2968,80.28,0.03743367041623923,0.052025062351022285,0.6480732928612206,0.5468052106324299,1.4953460567184405,0.41999899291998544,0,0.000890620762891306,0,0,False,False,False,False
1Yr,15Yr,ok,4.4094,76.62,0.03531388919330904,0.04924959702119642,0.6349998203828053,0.5146333533248751,1.4079303190042518,0.40322477188619504,0,0.0006573513307279041,0,0,False,False,False,False
1Yr,20Yr,ok,4.4542,74.92,0.03439003590163088,0.04335890261660477,0.6255394497637886,0.49823959775596915,1.3499570433576393,0.39129960321078344,0,0.0006496331434084855,0,0,False,False,False,False
1Yr,30Yr,ok,4.4323,72.24,0.033218876045370695,0.0421688831213641,0.632030988706903,0.5028739536905021,1.366601843274147,0.3994631706858253,0,0.000720676024568786,0,0,False,False,False,False
2Yr,1Yr,ok,4.1091999999999995,97.15999999999998,0.04652227604707008,-0.10383697270674613,0.47089871382569776,0.33960310591719994,0.823384692893378,0.4434911973653928,0,0.0033266418307515556,0,0,False,False,False,False
2Yr,2Yr,ok,4.105099999999999,94.21,0.04450726971327466,-0.06983811295029037,0.5489200502463549,0.414182439711805,1.0272669131756138,0.6026264431249216,0,0.004159884351998784,0,0,True,False,False,True
2Yr,5Yr,ok,4.1795,87.8,0.04150850832399951,-0.015940879580462627,0.47516006742540495,0.3461373424041045,0.8744907659224976,0.4515541793514308,0,0.003820503339045263,0,0,False,False,False,False
2Yr,10Yr,ok,4.3386000000000005,81.92,0.03774173278433,0.05281612392078258,0.5083932429651875,0.3570157406917395,0.9267495460598546,0.5169273789853204,0,0.004453304090325933,0,0,True,False,False,True
